left_num,right_num,solution,direction,distance,ratio,bucket
5,12,12,Right,7,2.4,4
5,13,13,Right,8,2.6,4
5,14,14,Right,9,2.8,4
5,15,15,Right,10,3,4
5,16,16,Right,11,3.2,4
5,17,17,Right,12,3.4,4
5,18,18,Right,13,3.6,4
5,19,19,Right,14,3.8,4
5,20,20,Right,15,4,4
5,21,21,Right,16,4.2,4
6,10,10,Right,4,1.66666666666667,3
6,15,15,Right,9,2.5,4
6,16,16,Right,10,2.66666666666667,4
6,11,11,Right,5,1.83333333333333,3
6,17,17,Right,11,2.83333333333333,4
6,12,12,Right,6,2,3
6,19,19,Right,13,3.16666666666667,4
6,20,20,Right,14,3.33333333333333,4
6,21,21,Right,15,3.5,4
7,9,9,Right,2,1.28571428571429,2
7,11,11,Right,4,1.57142857142857,3
7,10,10,Right,3,1.42857142857143,2
7,17,17,Right,10,2.42857142857143,4
7,18,18,Right,11,2.57142857142857,4
7,19,19,Right,12,2.71428571428571,4
7,20,20,Right,13,2.85714285714286,4
7,15,15,Right,8,2.14285714285714,3
7,16,16,Right,9,2.28571428571429,3
7,8,8,Right,1,1.14285714285714,1
8,10,10,Right,2,1.25,2
8,12,12,Right,4,1.5,3
8,11,11,Right,3,1.375,2
8,19,19,Right,11,2.375,3
9,12,12,Right,3,1.33333333333333,2
9,13,13,Right,4,1.44444444444444,2
9,16,16,Right,7,1.77777777777778,3
9,17,17,Right,8,1.88888888888889,3
9,11,11,Right,2,1.22222222222222,1
10,13,13,Right,3,1.3,2
10,14,14,Right,4,1.4,2
10,16,16,Right,6,1.6,3
10,17,17,Right,7,1.7,3
10,18,18,Right,8,1.8,3
10,19,19,Right,9,1.9,3
10,11,11,Right,1,1.1,1
11,14,14,Right,3,1.27272727272727,2
11,15,15,Right,4,1.36363636363636,2
11,16,16,Right,5,1.45454545454545,2
11,18,18,Right,7,1.63636363636364,3
11,20,20,Right,9,1.81818181818182,3
11,21,21,Right,10,1.90909090909091,3
11,12,12,Right,1,1.09090909090909,1
11,13,13,Right,2,1.18181818181818,1
12,17,17,Right,5,1.41666666666667,2
12,21,21,Right,9,1.75,3
12,13,13,Right,1,1.08333333333333,1
13,17,17,Right,4,1.30769230769231,2
13,20,20,Right,7,1.53846153846154,3
13,18,18,Right,5,1.38461538461538,2
13,21,21,Right,8,1.61538461538462,3
13,19,19,Right,6,1.46153846153846,2
13,15,15,Right,2,1.15384615384615,1
14,18,18,Right,4,1.28571428571429,2
14,19,19,Right,5,1.35714285714286,2
14,20,20,Right,6,1.42857142857143,2
14,15,15,Right,1,1.07142857142857,1
14,16,16,Right,2,1.14285714285714,1
14,17,17,Right,3,1.21428571428571,1
15,19,19,Right,4,1.26666666666667,2
15,16,16,Right,1,1.06666666666667,1
16,21,21,Right,5,1.3125,2
16,17,17,Right,1,1.0625,1
16,18,18,Right,2,1.125,1
16,19,19,Right,3,1.1875,1
17,19,19,Right,2,1.11764705882353,1
17,20,20,Right,3,1.17647058823529,1
17,21,21,Right,4,1.23529411764706,1
18,19,19,Right,1,1.05555555555556,1
18,20,20,Right,2,1.11111111111111,1
19,20,20,Right,1,1.05263157894737,1
12,5,12,Left,7,2.4,4
13,5,13,Left,8,2.6,4
14,5,14,Left,9,2.8,4
15,5,15,Left,10,3,4
16,5,16,Left,11,3.2,4
17,5,17,Left,12,3.4,4
18,5,18,Left,13,3.6,4
19,5,19,Left,14,3.8,4
20,5,20,Left,15,4,4
21,5,21,Left,16,4.2,4
10,6,10,Left,4,1.66666666666667,3
15,6,15,Left,9,2.5,4
16,6,16,Left,10,2.66666666666667,4
11,6,11,Left,5,1.83333333333333,3
17,6,17,Left,11,2.83333333333333,4
12,6,12,Left,6,2,3
19,6,19,Left,13,3.16666666666667,4
20,6,20,Left,14,3.33333333333333,4
21,6,21,Left,15,3.5,4
9,7,9,Left,2,1.28571428571429,2
11,7,11,Left,4,1.57142857142857,3
10,7,10,Left,3,1.42857142857143,2
17,7,17,Left,10,2.42857142857143,4
18,7,18,Left,11,2.57142857142857,4
19,7,19,Left,12,2.71428571428571,4
20,7,20,Left,13,2.85714285714286,4
15,7,15,Left,8,2.14285714285714,3
16,7,16,Left,9,2.28571428571429,3
8,7,8,Left,1,1.14285714285714,1
10,8,10,Left,2,1.25,2
12,8,12,Left,4,1.5,3
11,8,11,Left,3,1.375,2
19,8,19,Left,11,2.375,3
12,9,12,Left,3,1.33333333333333,2
13,9,13,Left,4,1.44444444444444,2
16,9,16,Left,7,1.77777777777778,3
17,9,17,Left,8,1.88888888888889,3
11,9,11,Left,2,1.22222222222222,1
13,10,13,Left,3,1.3,2
14,10,14,Left,4,1.4,2
16,10,16,Left,6,1.6,3
17,10,17,Left,7,1.7,3
18,10,18,Left,8,1.8,3
19,10,19,Left,9,1.9,3
11,10,11,Left,1,1.1,1
14,11,14,Left,3,1.27272727272727,2
15,11,15,Left,4,1.36363636363636,2
16,11,16,Left,5,1.45454545454545,2
18,11,18,Left,7,1.63636363636364,3
20,11,20,Left,9,1.81818181818182,3
21,11,21,Left,10,1.90909090909091,3
12,11,12,Left,1,1.09090909090909,1
13,11,13,Left,2,1.18181818181818,1
17,12,17,Left,5,1.41666666666667,2
21,12,21,Left,9,1.75,3
13,12,13,Left,1,1.08333333333333,1
17,13,17,Left,4,1.30769230769231,2
20,13,20,Left,7,1.53846153846154,3
18,13,18,Left,5,1.38461538461538,2
21,13,21,Left,8,1.61538461538462,3
19,13,19,Left,6,1.46153846153846,2
15,13,15,Left,2,1.15384615384615,1
18,14,18,Left,4,1.28571428571429,2
19,14,19,Left,5,1.35714285714286,2
20,14,20,Left,6,1.42857142857143,2
15,14,15,Left,1,1.07142857142857,1
16,14,16,Left,2,1.14285714285714,1
17,14,17,Left,3,1.21428571428571,1
19,15,19,Left,4,1.26666666666667,2
16,15,16,Left,1,1.06666666666667,1
21,16,21,Left,5,1.3125,2
17,16,17,Left,1,1.0625,1
18,16,18,Left,2,1.125,1
19,16,19,Left,3,1.1875,1
19,17,19,Left,2,1.11764705882353,1
20,17,20,Left,3,1.17647058823529,1
21,17,21,Left,4,1.23529411764706,1
19,18,19,Left,1,1.05555555555556,1
20,18,20,Left,2,1.11111111111111,1
20,19,20,Left,1,1.05263157894737,1
